id_a,id_b,label,jaccard_3,jaccard_5
N010018,N010020,same,0.2503259452411995,0.22327790973871733
N007876,N008565,different,0.22013888888888888,0.14226437462951985
N005451,N005452,same,0.345679012345679,0.30393700787401573
N008464,N010231,different,0.1281645569620253,0.08016877637130802
N000420,N001104,different,0.29790209790209793,0.21575757575757576
N004781,N005219,different,0.27246376811594203,0.1953125
N007021,N010547,different,0.37513397642015006,0.3037249283667622
N004413,N008734,different,0.1429794520547945,0.090283091048202
N007783,N007784,same,0.3178036605657238,0.27596439169139464
N001104,N001107,same,0.3204951856946355,0.29987293519695046
N006958,N006959,same,0.4742268041237113,0.4657676348547718
N003107,N007431,different,0.42467248908296945,0.3397497593840231
N010497,N011446,different,0.48884381338742394,0.4118705035971223
N002561,N003545,different,0.12742382271468145,0.08501683501683502
N004217,N007965,different,0.47132429614181437,0.3909426987060998
N006099,N006100,same,0.6147091108671789,0.608955223880597
N009010,N009562,different,0.15576592082616178,0.10054137664346481
N005332,N005333,same,0.9088729016786571,0.8864142538975501
N008288,N010448,different,0.46160794941282746,0.342769701606733
N002391,N009409,different,0.1608910891089109,0.10464259395725865
N001001,N007428,different,0.20845624385447395,0.14570685169124023
N002919,N002920,same,0.9871060171919771,0.9832689832689833
N007223,N008301,different,0.31927023945267957,0.22674418604651161
N005352,N007867,different,0.16221374045801526,0.10385259631490787
N007893,N007894,same,0.9434697855750487,0.931095406360424
N002670,N007972,different,0.4733201581027668,0.3520536462699078
N006038,N008642,different,0.1918649270913277,0.12264150943396226
N004523,N007453,different,0.3140161725067385,0.22637106184364061
N006491,N010563,different,0.4952651515151515,0.3981937602627258
N002902,N010086,different,0.28311425682507585,0.19658119658119658
N001013,N003939,different,0.3287037037037037,0.22428991185112634
N002612,N004456,different,0.16779089376053963,0.11706948640483383
N003308,N005945,different,0.14465408805031446,0.09263392857142858
N002811,N007128,different,0.3087431693989071,0.21108490566037735
N007478,N011108,different,0.18892508143322476,0.13304410701373826
N001760,N001761,same,0.9699570815450643,0.9564356435643564
N004944,N009237,different,0.1832191780821918,0.12702078521939955
N008261,N008262,same,0.6228070175438597,0.6127110228401191
N003630,N009918,different,0.24751243781094528,0.164021164021164
N003948,N008608,different,0.1531986531986532,0.09424083769633508
N008997,N008998,same,0.5682967959527825,0.5355450236966824
N004789,N005917,different,0.3538633818589026,0.2227314390467461
N003672,N008071,different,0.5220228384991843,0.4482758620689655
N009235,N009236,same,0.471563981042654,0.43392070484581496
N001817,N002597,different,0.44610778443113774,0.38290293855743546
N000985,N000986,same,0.2441430332922318,0.21484814398200225
N000993,N010660,different,0.2905982905982906,0.19585492227979276
N003269,N010318,different,0.34763948497854075,0.24196428571428572
N011750,N011966,different,0.33605600933488916,0.21884200196270853
N010357,N010360,same,0.9933184855233853,0.9775967413441955
N001163,N001165,same,0.9746031746031746,0.963963963963964
N011255,N011732,different,0.37745740498034075,0.25301204819277107
N007191,N011803,different,0.14464882943143811,0.09849624060150376
N003422,N008330,different,0.1634695579649708,0.10510732790525537
N004762,N011915,different,0.4534653465346535,0.37445699391833187
N006325,N006326,same,0.8916256157635468,0.8560830860534124
N003658,N003661,same,0.9700854700854701,0.9563492063492064
N010135,N010136,same,0.985663082437276,0.9802306425041186
N003079,N011928,different,0.4579339723109691,0.39072847682119205
N000268,N009659,different,0.5579896907216495,0.4808362369337979
N001173,N001174,same,0.6406926406926406,0.6185983827493261
N004065,N007546,different,0.4095127610208817,0.33714880332986474
N000702,N007932,different,0.13708399366085577,0.08437935843793584
N009387,N009517,different,0.3103448275862069,0.2125
N000358,N007166,different,0.2902843601895735,0.20224719101123595
N007841,N011872,different,0.14443084455324356,0.09887640449438202
N000576,N000577,same,0.21485714285714286,0.19479166666666667
N003372,N008041,different,0.30728051391862954,0.19982238010657194
N006470,N009323,different,0.4605647517039922,0.3857998289136014
N001685,N001686,same,0.6521739130434783,0.6404833836858006
N002358,N005690,different,0.3274647887323944,0.2187192118226601
N002216,N002218,same,0.9099804305283757,0.8641975308641975
N003837,N007101,different,0.41102514506769827,0.31993299832495814
N008995,N010419,different,0.30760095011876487,0.2130479102956167
N001394,N003813,different,0.17647058823529413,0.12021857923497267
N003816,N009648,different,0.48423423423423423,0.4149797570850202
N000883,N003126,different,0.13793103448275862,0.09569798068481124
N010748,N011807,different,0.27485380116959063,0.1994750656167979
N006050,N007874,different,0.19909502262443438,0.13000656598818122
N011687,N011688,same,0.9881656804733728,0.981549815498155
N000036,N011140,different,0.23545900490539592,0.1573907839616996
N000051,N000052,same,0.9657534246575342,0.948051948051948
N001105,N007889,different,0.11559633027522936,0.07413647851727043
N004491,N004492,same,0.5521091811414393,0.5326460481099656
N004978,N009682,different,0.2152317880794702,0.1393998063891578
N008379,N008380,same,0.9361313868613139,0.9316666666666666
N001189,N011628,different,0.1778697001034126,0.11423390752493201
N000183,N001889,different,0.5572916666666666,0.49176470588235294
N006225,N006227,same,0.24777636594663277,0.22401847575057737
N002447,N007313,different,0.248868778280543,0.18085106382978725
N005321,N005322,same,0.9366666666666666,0.9280469897209985
N004563,N004564,same,0.4084084084084084,0.39532710280373834
N001497,N001498,same,0.4954682779456193,0.48555452003727867
N002729,N008105,different,0.32830626450116007,0.2131303520456708
N000314,N008220,different,0.2399708242159008,0.1585518102372035
N001902,N009227,different,0.4792243767313019,0.39800995024875624
N001376,N009439,different,0.42697768762677485,0.3347978910369069
N003019,N009498,different,0.20656226696495153,0.13851132686084142
N003883,N004988,different,0.18606492478226444,0.12106368089573127
N004822,N007764,different,0.26247848537005164,0.1676300578034682
N000255,N007615,different,0.36904761904761907,0.2907986111111111
N005676,N011302,different,0.2807262569832402,0.20606060606060606
N003403,N007889,different,0.15357458075904679,0.09466984884645982
N002476,N005891,different,0.1651893634165995,0.10975609756097561
N004988,N009224,different,0.2094081942336874,0.1382059800664452
N001677,N011151,different,0.2021604938271605,0.13058186738836267
N006731,N006732,same,0.9153225806451613,0.8990654205607477
N002200,N009548,different,0.18086696562032886,0.11722331368696791
N001873,N001874,same,0.9399293286219081,0.9325842696629213
N006820,N010293,different,0.32160804020100503,0.22282023681377824
N004096,N007060,different,0.3960964408725603,0.27988614800759015
N003135,N003543,different,0.3643031784841076,0.24570273003033366
N006564,N007387,different,0.27167630057803466,0.19121447028423771
N004906,N008027,different,0.36046511627906974,0.24807692307692308
N000145,N007083,different,0.16878980891719744,0.10909090909090909
N008087,N008088,same,0.34959349593495936,0.3354908306364617
N007153,N007701,different,0.4278892072588348,0.3650927487352445
N010825,N010826,same,0.6561643835616439,0.644918444165621
N006905,N006906,same,0.987719298245614,0.9822866344605475
N001863,N002786,different,0.19295558958652373,0.12583668005354753
N001735,N005403,different,0.3986784140969163,0.3199214916584887
N009982,N009985,same,0.23024054982817868,0.2090837901331245
N008801,N011616,different,0.28950542822677927,0.2028688524590164
N003201,N011795,different,0.4450041981528128,0.35932944606413997
N009040,N010335,different,0.15097690941385436,0.09785202863961814
N000276,N000278,same,0.31369426751592355,0.27864214992927866
N001338,N001340,same,0.9791304347826087,0.9664536741214057
N011118,N011119,same,0.9057187017001546,0.8803301237964236
N000768,N000770,same,0.6823161189358372,0.6614509246088194
N001515,N006807,different,0.3009049773755656,0.19735599622285174
N009100,N009150,different,0.27386363636363636,0.19038461538461537
N000437,N010413,different,0.16837136113296616,0.1146051712089448
N008497,N008498,same,0.585247883917775,0.5684556407447974
N007145,N007146,same,0.5463483146067416,0.5333333333333333
N007053,N010560,different,0.3754826254826255,0.2975486052409129
N008280,N010910,different,0.29494712103407755,0.2009950248756219
N001364,N001365,same,0.9577702702702703,0.9332298136645962
N001075,N009237,different,0.46971569839307786,0.3926174496644295
N003268,N007976,different,0.5220713073005093,0.40863309352517985
N004168,N004169,same,0.6750524109014675,0.6666666666666666
N003317,N011369,different,0.26269315673289184,0.17476635514018693
N002748,N011595,different,0.4189636163175303,0.3349609375
N000873,N002331,different,0.1586998087954111,0.10371650821089023
N009379,N009380,same,0.9826388888888888,0.9779179810725552
N007382,N009541,different,0.19888475836431227,0.1262135922330097
N006828,N011568,different,0.1899335232668566,0.1245819397993311
N005210,N009890,different,0.25557011795543905,0.17995444191343962
N009046,N010077,different,0.3664383561643836,0.3049645390070922
N000659,N006306,different,0.16971713810316139,0.11432813659985153
N005472,N007849,different,0.18270008084074374,0.12616487455197134
N007681,N009555,different,0.4363312555654497,0.36071987480438183
N007201,N010116,different,0.2791946308724832,0.20209059233449478
N002665,N004599,different,0.18209876543209877,0.11670020120724346
N007557,N008376,different,0.48519579751671443,0.35996771589991927
N000189,N001381,different,0.2915173237753883,0.1941941941941942
N004220,N007941,different,0.4211618257261411,0.3201793721973094
N002036,N008928,different,0.116107931316435,0.07540263543191801
N003662,N010020,different,0.27647058823529413,0.19473684210526315
N004066,N006280,different,0.2615979381443299,0.19036954087346025
N005647,N010086,different,0.27552275522755226,0.1959531416400426
N002586,N006131,different,0.2852153667054715,0.20436507936507936
N004043,N004969,different,0.1273031825795645,0.0842654735272185
N010853,N010857,same,0.7614080834419817,0.7506142506142506
N000202,N007774,different,0.35956580732700133,0.24489795918367346
N002852,N002853,same,0.6068376068376068,0.5905511811023622
N008049,N010976,different,0.265625,0.18335343787696018
N010028,N010039,different,0.4082352941176471,0.3333333333333333
N004028,N010035,different,0.27794561933534745,0.19946091644204852
N001702,N010946,different,0.21728691476590636,0.13983050847457626
N008791,N008803,different,0.4524271844660194,0.3793103448275862
N000684,N004640,different,0.31620111731843575,0.22285174693106705
N011929,N011930,same,0.39414634146341465,0.3801801801801802
N003860,N004075,different,0.39005524861878454,0.3190854870775348
N003884,N007431,different,0.1563517915309446,0.10274963820549927
N002204,N007953,different,0.24399494310998734,0.16557017543859648
N005664,N005666,same,0.8612244897959184,0.7929759704251387
N003982,N006359,different,0.4106641721234799,0.3504132231404959
N002817,N002819,same,0.2796420581655481,0.2578288100208768
N002626,N002629,same,0.5539473684210526,0.5319662243667069
N000262,N002156,different,0.47733580018501387,0.3612852664576803
N000131,N003422,different,0.46352413019079686,0.40736949846468784
N000852,N010531,different,0.13725490196078433,0.09644194756554307
N003659,N005484,different,0.18159609120521172,0.12173913043478261
N001115,N009773,different,0.521594684385382,0.43190661478599224
N010941,N010942,same,0.9503105590062112,0.9493670886075949
N008101,N008840,different,0.2641509433962264,0.17832167832167833
N005983,N009546,different,0.49204771371769385,0.4146772767462423
N001180,N006053,different,0.39632277834525026,0.30844444444444447
N004248,N005277,different,0.23694779116465864,0.1471264367816092
N006025,N010086,different,0.28585858585858587,0.1913632514817951
N002970,N007570,different,0.4503582395087001,0.3889908256880734
N002439,N007343,different,0.41008018327605955,0.3269035532994924
N001488,N005914,different,0.30845771144278605,0.21405750798722045
N001624,N006762,different,0.16666666666666666,0.11528150134048257
N004870,N006313,different,0.34772182254196643,0.24545454545454545
N011017,N011020,same,0.5789473684210527,0.5581920903954802
N002389,N002391,same,0.59688995215311,0.575192096597146
N000672,N002056,different,0.16,0.10357142857142858
N003476,N004605,different,0.3263288009888752,0.22291666666666668
N008022,N010492,different,0.4577603143418468,0.36712095400340716
N009775,N009854,different,0.10904255319148937,0.07016129032258064
N001443,N010092,different,0.3872832369942196,0.29831932773109243
N008152,N008153,same,0.9712041884816754,0.9633251833740831
N004151,N009894,different,0.17189952904238617,0.10865051903114187
N009151,N011771,different,0.46362649294245384,0.4052993130520118
N004672,N008166,different,0.5619747899159664,0.4641544117647059
N005081,N007027,different,0.24949899799599198,0.18117854001759015
N002173,N008545,different,0.32,0.20683287165281625
N003781,N003783,same,0.9315068493150684,0.9282371294851794
N002084,N007552,different,0.2995529061102832,0.21279373368146215
N004001,N004002,same,0.4988962472406181,0.46846846846846846
N009163,N009439,different,0.26334519572953735,0.17166416791604197
N002426,N003338,different,0.17484177215189872,0.11958041958041958
N006423,N006425,same,0.9763779527559056,0.9662921348314607
N007876,N009829,different,0.5402081362346263,0.4310064935064935
N007687,N009311,different,0.4806910569105691,0.36731107205623903
N001746,N002955,different,0.1156015037593985,0.07962328767123288
N008284,N008285,same,0.6172839506172839,0.6030612244897959
N001309,N011869,different,0.1377245508982036,0.09463148316651501
N002589,N004081,different,0.16134751773049646,0.11451612903225807
N005300,N006349,different,0.45901639344262296,0.400196656833825
N009455,N009456,same,0.5859269282814614,0.5677339901477833
N004081,N010560,different,0.17893835616438356,0.12895752895752896
N004306,N004307,same,0.9808612440191388,0.9730941704035875
N000884,N011090,different,0.3869115958668197,0.31649484536082473
N000010,N003634,different,0.16758026624902114,0.10844200411805079
N002225,N011649,different,0.29055690072639223,0.19815195071868583
N001484,N003224,different,0.1354895104895105,0.09112519809825674
N008411,N008412,same,0.4004329004329004,0.36926147704590817
N006804,N010502,different,0.23696682464454977,0.15614886731391586
N009437,N010826,different,0.4158004158004158,0.3293795620437956
N000335,N007009,different,0.3415384615384615,0.25068870523415976
N002857,N005654,different,0.37485843714609285,0.3247422680412371
N000078,N007325,different,0.3069908814589666,0.22010869565217392
N000864,N005773,different,0.2608200455580866,0.18385214007782102
N007718,N008135,different,0.3855650522317189,0.30525437864887406
N006976,N010778,different,0.4306506849315068,0.351451973194341
N002774,N011414,different,0.29860228716645487,0.20585048754062837
N004762,N010111,different,0.481789802289282,0.40985130111524165
N003908,N003909,same,0.25442477876106195,0.2292929292929293
N000664,N000666,same,0.44266666666666665,0.40914709517923364
N004323,N009954,different,0.2724795640326976,0.18536009445100354
N010390,N011580,different,0.15852205005959474,0.10576923076923077
N004880,N004881,same,0.9381933438985737,0.9330484330484331
N000818,N006620,different,0.1988527724665392,0.13406408094435077
N001043,N002862,different,0.35398230088495575,0.22560429722470904
N000640,N011658,different,0.20559334845049132,0.1317008603573792
N008018,N008676,different,0.11898016997167139,0.08196721311475409
N002685,N002686,same,0.49796747967479676,0.4891611687087653
N000449,N010133,different,0.27296587926509186,0.19014891179839633
N004683,N007002,different,0.18013856812933027,0.12380952380952381
N010844,N011602,different,0.2996057818659658,0.20945945945945946
N002440,N002443,same,0.3585951940850277,0.31993299832495814
N001357,N003372,different,0.2824267782426778,0.18711385701676964
N010856,N010857,same,0.7033678756476683,0.6835138387484958
N005262,N005263,same,0.3280871670702179,0.3064159292035398
N000070,N004969,different,0.5181975736568457,0.40397350993377484
N003615,N009126,different,0.4601851851851852,0.3707865168539326
N003236,N006862,different,0.16355810616929697,0.1080574640849469
N001257,N005818,different,0.17866004962779156,0.11585807385952208
