month_number,month_name,pipeline_revenue,finance_revenue,difference,classification
1,January,38446071.33,38446071.33,0.00,MATCH
2,February,34887085.55,34887085.55,0.00,MATCH
3,March,41971649.09,42457899.09,486250.00,REVENUE DEFINITION DIFFERENCE
4,April,37958457.37,37958457.37,0.00,MATCH
5,May,41764716.40,41764716.40,0.00,MATCH
6,June,38987082.82,38987082.82,0.00,MATCH
7,July,40295160.11,40527291.81,232131.70,SOURCE-DATA ISSUE
8,August,45252181.75,45252181.75,0.00,MATCH
9,September,44615037.46,44615037.46,0.00,MATCH
10,October,56359195.92,56359195.92,0.00,MATCH
11,November,51583838.47,51583838.47,0.00,MATCH
12,December,50745259.48,50745259.48,0.00,MATCH
