notice_id_a,notice_id_b,label,exact_jaccard,minhash_jaccard,absolute_error
N010018,N010020,same,0.22327790973871733,0.21614583333333334,0.007132076405383991
N007876,N008565,different,0.14226437462951985,0.125,0.017264374629519852
N005451,N005452,same,0.30393700787401573,0.2760416666666667,0.027895341207349045
N008464,N010231,different,0.08016877637130802,0.059895833333333336,0.020272943037974687
N000420,N001104,different,0.21575757575757576,0.2604166666666667,0.044659090909090926
N004781,N005219,different,0.1953125,0.21354166666666666,0.018229166666666657
N007021,N010547,different,0.3037249283667622,0.3463541666666667,0.042629238299904504
N004413,N008734,different,0.090283091048202,0.07552083333333333,0.014762257714868665
N007783,N007784,same,0.27596439169139464,0.2916666666666667,0.015702274975272046
N001104,N001107,same,0.29987293519695046,0.296875,0.002997935196950463
N006958,N006959,same,0.4657676348547718,0.4505208333333333,0.01524680152143848
N003107,N007431,different,0.3397497593840231,0.359375,0.019625240615976924
N010497,N011446,different,0.4118705035971223,0.4375,0.025629496402877705
N002561,N003545,different,0.08501683501683502,0.0703125,0.014704335016835018
N004217,N007965,different,0.3909426987060998,0.3828125,0.008130198706099823
N006099,N006100,same,0.608955223880597,0.5859375,0.023017723880596974
N009010,N009562,different,0.10054137664346481,0.109375,0.008833623356535189
N005332,N005333,same,0.8864142538975501,0.9140625,0.02764824610244987
N008288,N010448,different,0.342769701606733,0.3541666666666667,0.011396965059933706
N002391,N009409,different,0.10464259395725865,0.08072916666666667,0.023913427290591982
N001001,N007428,different,0.14570685169124023,0.17447916666666666,0.028772314975426427
N002919,N002920,same,0.9832689832689833,0.9869791666666666,0.0037101833976833642
N007223,N008301,different,0.22674418604651161,0.23177083333333334,0.005026647286821728
N005352,N007867,different,0.10385259631490787,0.07552083333333333,0.02833176298157454
N007893,N007894,same,0.931095406360424,0.9088541666666666,0.022241239693757353
N002670,N007972,different,0.3520536462699078,0.3333333333333333,0.0187203129365745
N006038,N008642,different,0.12264150943396226,0.11979166666666667,0.0028498427672955934
N004523,N007453,different,0.22637106184364061,0.24479166666666666,0.018420604823026043
N006491,N010563,different,0.3981937602627258,0.3984375,0.00024373973727420672
N002902,N010086,different,0.19658119658119658,0.18229166666666666,0.01428952991452992
N001013,N003939,different,0.22428991185112634,0.22395833333333334,0.00033157851779300196
N002612,N004456,different,0.11706948640483383,0.109375,0.0076944864048338335
N003308,N005945,different,0.09263392857142858,0.09635416666666667,0.003720238095238096
N002811,N007128,different,0.21108490566037735,0.23697916666666666,0.025894261006289304
N007478,N011108,different,0.13304410701373826,0.13802083333333334,0.004976726319595087
N001760,N001761,same,0.9564356435643564,0.9661458333333334,0.009710189768976973
N004944,N009237,different,0.12702078521939955,0.11458333333333333,0.012437451886066223
N008261,N008262,same,0.6127110228401191,0.6354166666666666,0.022705643826547495
N003630,N009918,different,0.164021164021164,0.18229166666666666,0.018270502645502645
N003948,N008608,different,0.09424083769633508,0.08854166666666667,0.0056991710296684095
N008997,N008998,same,0.5355450236966824,0.515625,0.019920023696682443
N004789,N005917,different,0.2227314390467461,0.22395833333333334,0.0012268942865872323
N003672,N008071,different,0.4482758620689655,0.4739583333333333,0.02568247126436779
N009235,N009236,same,0.43392070484581496,0.4401041666666667,0.006183461820851721
N001817,N002597,different,0.38290293855743546,0.359375,0.023527938557435457
N000985,N000986,same,0.21484814398200225,0.21354166666666666,0.0013064773153355913
N000993,N010660,different,0.19585492227979276,0.1953125,0.0005424222797927591
N003269,N010318,different,0.24196428571428572,0.2682291666666667,0.02626488095238097
N011750,N011966,different,0.21884200196270853,0.22135416666666666,0.002512164703958125
N010357,N010360,same,0.9775967413441955,0.96875,0.008846741344195497
N001163,N001165,same,0.963963963963964,0.96875,0.004786036036036001
N011255,N011732,different,0.25301204819277107,0.2682291666666667,0.015217118473895619
N007191,N011803,different,0.09849624060150376,0.10416666666666667,0.005670426065162909
N003422,N008330,different,0.10510732790525537,0.1015625,0.003544827905255371
N004762,N011915,different,0.37445699391833187,0.3854166666666667,0.010959672748334814
N006325,N006326,same,0.8560830860534124,0.8307291666666666,0.025353919386745805
N003658,N003661,same,0.9563492063492064,0.9713541666666666,0.015004960317460236
N010135,N010136,same,0.9802306425041186,0.9739583333333334,0.006272309170785251
N003079,N011928,different,0.39072847682119205,0.390625,0.00010347682119205004
N000268,N009659,different,0.4808362369337979,0.4921875,0.0113512630662021
N001173,N001174,same,0.6185983827493261,0.5807291666666666,0.037869216082659474
N004065,N007546,different,0.33714880332986474,0.328125,0.009023803329864744
N000702,N007932,different,0.08437935843793584,0.06770833333333333,0.016671025104602513
N009387,N009517,different,0.2125,0.21875,0.0062500000000000056
N000358,N007166,different,0.20224719101123595,0.1796875,0.02255969101123595
N007841,N011872,different,0.09887640449438202,0.09114583333333333,0.007730571161048694
N000576,N000577,same,0.19479166666666667,0.18489583333333334,0.009895833333333326
N003372,N008041,different,0.19982238010657194,0.16145833333333334,0.0383640467732386
N006470,N009323,different,0.3857998289136014,0.4192708333333333,0.03347100441973194
N001685,N001686,same,0.6404833836858006,0.6354166666666666,0.0050667170191339705
N002358,N005690,different,0.2187192118226601,0.20052083333333334,0.01819837848932676
N002216,N002218,same,0.8641975308641975,0.84375,0.020447530864197483
N003837,N007101,different,0.31993299832495814,0.3177083333333333,0.002224664991624825
N008995,N010419,different,0.2130479102956167,0.20052083333333334,0.012527076962283362
N001394,N003813,different,0.12021857923497267,0.11197916666666667,0.008239412568306001
N003816,N009648,different,0.4149797570850202,0.453125,0.03814524291497978
N000883,N003126,different,0.09569798068481124,0.09635416666666667,0.0006561859818554339
N010748,N011807,different,0.1994750656167979,0.20833333333333334,0.008858267716535445
N006050,N007874,different,0.13000656598818122,0.11458333333333333,0.015423232654847893
N011687,N011688,same,0.981549815498155,0.9791666666666666,0.0023831488314883797
N000036,N011140,different,0.1573907839616996,0.16927083333333334,0.011880049371633755
N000051,N000052,same,0.948051948051948,0.9505208333333334,0.0024688852813853357
N001105,N007889,different,0.07413647851727043,0.09375,0.019613521482729573
N004491,N004492,same,0.5326460481099656,0.5625,0.02985395189003437
N004978,N009682,different,0.1393998063891578,0.1484375,0.009037693610842196
N008379,N008380,same,0.9316666666666666,0.9270833333333334,0.004583333333333273
N001189,N011628,different,0.11423390752493201,0.1015625,0.01267140752493201
N000183,N001889,different,0.49176470588235294,0.4739583333333333,0.017806372549019622
N006225,N006227,same,0.22401847575057737,0.22395833333333334,6.014241724403013e-05
N002447,N007313,different,0.18085106382978725,0.18489583333333334,0.004044769503546097
N005321,N005322,same,0.9280469897209985,0.9322916666666666,0.004244676945668102
N004563,N004564,same,0.39532710280373834,0.3697916666666667,0.025535436137071654
N001497,N001498,same,0.48555452003727867,0.4348958333333333,0.050658686703945355
N002729,N008105,different,0.2131303520456708,0.1953125,0.017817852045670796
N000314,N008220,different,0.1585518102372035,0.171875,0.013323189762796506
N001902,N009227,different,0.39800995024875624,0.4036458333333333,0.005635883084577076
N001376,N009439,different,0.3347978910369069,0.359375,0.02457710896309312
N003019,N009498,different,0.13851132686084142,0.13020833333333334,0.008302993527508074
N003883,N004988,different,0.12106368089573127,0.10416666666666667,0.016897014229064602
N004822,N007764,different,0.1676300578034682,0.1875,0.019869942196531792
N000255,N007615,different,0.2907986111111111,0.3203125,0.029513888888888895
N005676,N011302,different,0.20606060606060606,0.20052083333333334,0.005539772727272713
N003403,N007889,different,0.09466984884645982,0.08854166666666667,0.0061281821797931485
N002476,N005891,different,0.10975609756097561,0.10416666666666667,0.005589430894308939
N004988,N009224,different,0.1382059800664452,0.10677083333333333,0.03143514673311186
N001677,N011151,different,0.13058186738836267,0.11197916666666667,0.018602700721695994
N006731,N006732,same,0.8990654205607477,0.8932291666666666,0.005836253894081045
N002200,N009548,different,0.11722331368696791,0.12760416666666666,0.010380852979698749
N001873,N001874,same,0.9325842696629213,0.90625,0.026334269662921295
N006820,N010293,different,0.22282023681377824,0.25,0.027179763186221756
