notice_id_a,notice_id_b,label,true_similarity,retrieved,candidate_count,similarity_bin
N010018,N010020,same,0.22327790973871733,False,38,"[0.2, 0.3)"
N007876,N008565,different,0.14226437462951985,False,18,"[0.1, 0.2)"
N005451,N005452,same,0.30393700787401573,False,0,"[0.3, 0.4)"
N008464,N010231,different,0.08016877637130802,False,0,"[0.0, 0.1)"
N000420,N001104,different,0.21575757575757576,False,2,"[0.2, 0.3)"
N004781,N005219,different,0.1953125,False,0,"[0.1, 0.2)"
N007021,N010547,different,0.3037249283667622,False,126,"[0.3, 0.4)"
N004413,N008734,different,0.090283091048202,False,19,"[0.0, 0.1)"
N007783,N007784,same,0.27596439169139464,False,5,"[0.2, 0.3)"
N001104,N001107,same,0.29987293519695046,False,2,"[0.2, 0.3)"
N006958,N006959,same,0.4657676348547718,False,9,"[0.4, 0.5)"
N003107,N007431,different,0.3397497593840231,False,78,"[0.3, 0.4)"
N010497,N011446,different,0.4118705035971223,False,393,"[0.4, 0.5)"
N002561,N003545,different,0.08501683501683502,False,316,"[0.0, 0.1)"
N004217,N007965,different,0.3909426987060998,False,2,"[0.3, 0.4)"
N006099,N006100,same,0.608955223880597,False,1,"[0.6, 0.7)"
N009010,N009562,different,0.10054137664346481,False,74,"[0.1, 0.2)"
N005332,N005333,same,0.8864142538975501,True,5,"[0.8, 0.9)"
N008288,N010448,different,0.342769701606733,False,3,"[0.3, 0.4)"
N002391,N009409,different,0.10464259395725865,False,19,"[0.1, 0.2)"
N001001,N007428,different,0.14570685169124023,False,374,"[0.1, 0.2)"
N002919,N002920,same,0.9832689832689833,True,3,"[0.9, 1.01)"
N007223,N008301,different,0.22674418604651161,False,8,"[0.2, 0.3)"
N005352,N007867,different,0.10385259631490787,False,5,"[0.1, 0.2)"
N007893,N007894,same,0.931095406360424,True,2,"[0.9, 1.01)"
N002670,N007972,different,0.3520536462699078,False,3,"[0.3, 0.4)"
N006038,N008642,different,0.12264150943396226,False,0,"[0.1, 0.2)"
N004523,N007453,different,0.22637106184364061,False,0,"[0.2, 0.3)"
N006491,N010563,different,0.3981937602627258,False,132,"[0.3, 0.4)"
N002902,N010086,different,0.19658119658119658,False,3,"[0.1, 0.2)"
N001013,N003939,different,0.22428991185112634,False,3,"[0.2, 0.3)"
N002612,N004456,different,0.11706948640483383,False,8,"[0.1, 0.2)"
N003308,N005945,different,0.09263392857142858,False,8,"[0.0, 0.1)"
